"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"DelftX/CTB3365DWx/3T2014_302090","167","0","0.00","0","0","0"
"DelftX/CTB3365DWx/3T2014_5602574","3191","175","5.48","7","0","0"
"DelftX/CTB3365DWx/3T2014_2363952","3058","17","0.56","2","45","204"
"DelftX/CTB3365DWx/3T2014_2583213","7877","1107","14.05","6","26","319"
"DelftX/CTB3365DWx/3T2014_5642909","17467","1591","9.11","5","5","218"
"DelftX/CTB3365DWx/3T2014_3606755","20737","1237","5.97","8","33","252"
"DelftX/CTB3365DWx/3T2014_4629964","1917","293","15.28","6","0","0"
"DelftX/CTB3365DWx/3T2014_5570410","45272","179","0.40","2","47","248"
"DelftX/CTB3365DWx/3T2014_402019","9292","2348","25.27","7","33","241"
"DelftX/CTB3365DWx/3T2014_1767337","6476","237","3.66","2","49","262"
"DelftX/CTB3365DWx/3T2014_2307455","4080","235","5.76","2","0","0"
"DelftX/CTB3365DWx/3T2014_612190","10220","3514","34.38","9","49","229"
"DelftX/CTB3365DWx/3T2014_5208651","3304","576","17.43","6","5","201"
"DelftX/CTB3365DWx/3T2014_5080948","0","0","0.00","1","0","0"
"DelftX/CTB3365DWx/3T2014_5634299","7238","929","12.84","7","0","0"
"DelftX/CTB3365DWx/3T2014_455912","1258","0","0.00","0","7","244"
"DelftX/CTB3365DWx/3T2014_5563678","11051","1295","11.72","6","17","281"
"DelftX/CTB3365DWx/3T2014_4972529","27351","2197","8.03","8","46","278"
"DelftX/CTB3365DWx/3T2014_2799942","19723","236","1.20","1","47","261"
"DelftX/CTB3365DWx/3T2014_5853808","0","0","0.00","5","0","0"
"DelftX/CTB3365DWx/3T2014_2391735","0","0","0.00","0","0","0"
"DelftX/CTB3365DWx/3T2014_5607453","3162","423","13.38","6","0","0"
"DelftX/CTB3365DWx/3T2014_4755990","14666","2793","19.04","8","37","208"
"DelftX/CTB3365DWx/3T2014_3305374","15911","2841","17.86","4","46","222"
"DelftX/CTB3365DWx/3T2014_5665244","40253","0","0.00","1","21","203"
"DelftX/CTB3365DWx/3T2014_5343941","247","0","0.00","0","0","0"
"DelftX/CTB3365DWx/3T2014_3410565","346","0","0.00","4","0","0"
"DelftX/CTB3365DWx/3T2014_5702603","1648","400","24.27","5","0","0"
"DelftX/CTB3365DWx/3T2014_5540665","21910","2324","10.61","4","50","200"
"DelftX/CTB3365DWx/3T2014_5774916","0","0","0.00","1","0","0"
"DelftX/CTB3365DWx/3T2014_2257644","11728","2232","19.03","6","50","201"
"DelftX/CTB3365DWx/3T2014_5502867","23517","2803","11.92","6","50","281"
"DelftX/CTB3365DWx/3T2014_1300984","13823","2076","15.02","8","30","260"
"DelftX/CTB3365DWx/3T2014_1675129","14615","1777","12.16","6","50","216"
"DelftX/CTB3365DWx/3T2014_2938530","12066","2212","18.33","4","19","233"
"DelftX/CTB3365DWx/3T2014_4412254","24706","1601","6.48","10","17","260"
"DelftX/CTB3365DWx/3T2014_5019797","1912","1236","64.64","10","0","0"
"DelftX/CTB3365DWx/3T2014_2522834","2372","553","23.31","4","0","0"
"DelftX/CTB3365DWx/3T2014_5537844","6293","1520","24.15","9","12","208"
"DelftX/CTB3365DWx/3T2014_948543","4865","841","17.29","3","32","313"
"DelftX/CTB3365DWx/3T2014_1298778","4603","180","3.91","6","0","0"
"DelftX/CTB3365DWx/3T2014_5263158","40135","11788","29.37","8","43","226"
"DelftX/CTB3365DWx/3T2014_4537282","21801","341","1.56","3","48","195"
"DelftX/CTB3365DWx/3T2014_4876511","37806","3867","10.23","7","0","0"
"DelftX/CTB3365DWx/3T2014_5223032","28","0","0.00","6","0","0"
"DelftX/CTB3365DWx/3T2014_5473536","5186","508","9.80","7","0","0"
"DelftX/CTB3365DWx/3T2014_5601931","37426","7","0.02","1","43","245"
"DelftX/CTB3365DWx/3T2014_5632879","9848","2184","22.18","6","4","176"
"DelftX/CTB3365DWx/3T2014_2043279","10290","1476","14.34","4","39","206"
"DelftX/CTB3365DWx/3T2014_5082418","0","0","0.00","6","0","0"
"DelftX/CTB3365DWx/3T2014_4490657","41194","2641","6.41","8","40","294"
"DelftX/CTB3365DWx/3T2014_4276451","21277","1975","9.28","7","29","270"
"DelftX/CTB3365DWx/3T2014_4235823","1392","0","0.00","2","0","0"
"DelftX/CTB3365DWx/3T2014_5089295","10672","1269","11.89","10","12","178"
"DelftX/CTB3365DWx/3T2014_1742861","426","0","0.00","0","7","316"
"DelftX/CTB3365DWx/3T2014_4589890","8239","1103","13.39","7","5","314"
"DelftX/CTB3365DWx/3T2014_5141032","69636","6326","9.08","8","50","293"
"DelftX/CTB3365DWx/3T2014_5483558","28964","4192","14.47","8","21","307"
"DelftX/CTB3365DWx/3T2014_3187308","19432","3198","16.46","8","38","215"
"DelftX/CTB3365DWx/3T2014_2024021","4227","0","0.00","0","39","222"
"DelftX/CTB3365DWx/3T2014_5629917","2882","0","0.00","4","0","0"
"DelftX/CTB3365DWx/3T2014_330476","3797","823","21.68","5","17","294"
"DelftX/CTB3365DWx/3T2014_2388316","11556","1390","12.03","8","29","285"
"DelftX/CTB3365DWx/3T2014_1950144","5684","359","6.32","2","25","193"
