"User_id","Time on platform","Time on videos","Ratio video/platform","Distict videos","Assignments","Until deadline"
"Thresholds","2.0","2.0","2.0","5.0","5.0","8.0"
"DelftX/CTB3365DWx/3T2014_302090","0","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_5602574","0","0","1","7","0","0"
"DelftX/CTB3365DWx/3T2014_2363952","0","0","0","2","9","6"
"DelftX/CTB3365DWx/3T2014_2583213","1","1","2","6","5","10"
"DelftX/CTB3365DWx/3T2014_5642909","3","1","1","5","1","7"
"DelftX/CTB3365DWx/3T2014_3606755","3","1","1","8","7","8"
"DelftX/CTB3365DWx/3T2014_4629964","0","0","2","6","0","0"
"DelftX/CTB3365DWx/3T2014_5570410","7","0","0","2","9","8"
"DelftX/CTB3365DWx/3T2014_402019","1","2","3","7","7","8"
"DelftX/CTB3365DWx/3T2014_1767337","1","0","0","2","10","8"
"DelftX/CTB3365DWx/3T2014_2307455","1","0","1","2","0","0"
"DelftX/CTB3365DWx/3T2014_612190","1","3","5","9","10","7"
"DelftX/CTB3365DWx/3T2014_5208651","0","0","2","6","1","6"
"DelftX/CTB3365DWx/3T2014_5080948","0","0","0","1","0","0"
"DelftX/CTB3365DWx/3T2014_5634299","1","1","2","7","0","0"
"DelftX/CTB3365DWx/3T2014_455912","0","0","0","0","1","8"
"DelftX/CTB3365DWx/3T2014_5563678","2","1","2","6","3","9"
"DelftX/CTB3365DWx/3T2014_4972529","4","2","1","8","9","9"
"DelftX/CTB3365DWx/3T2014_2799942","3","0","0","1","9","8"
"DelftX/CTB3365DWx/3T2014_5853808","0","0","0","5","0","0"
"DelftX/CTB3365DWx/3T2014_2391735","0","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_5607453","0","0","2","6","0","0"
"DelftX/CTB3365DWx/3T2014_4755990","2","2","3","8","7","6"
"DelftX/CTB3365DWx/3T2014_3305374","2","2","2","4","9","7"
"DelftX/CTB3365DWx/3T2014_5665244","6","0","0","1","4","6"
"DelftX/CTB3365DWx/3T2014_5343941","0","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_3410565","0","0","0","4","0","0"
"DelftX/CTB3365DWx/3T2014_5702603","0","0","3","5","0","0"
"DelftX/CTB3365DWx/3T2014_5540665","3","2","1","4","10","6"
"DelftX/CTB3365DWx/3T2014_5774916","0","0","0","1","0","0"
"DelftX/CTB3365DWx/3T2014_2257644","2","2","3","6","10","6"
"DelftX/CTB3365DWx/3T2014_5502867","3","2","2","6","10","9"
"DelftX/CTB3365DWx/3T2014_1300984","2","2","2","8","6","8"
"DelftX/CTB3365DWx/3T2014_1675129","2","2","2","6","10","7"
"DelftX/CTB3365DWx/3T2014_2938530","2","2","2","4","4","7"
"DelftX/CTB3365DWx/3T2014_4412254","4","1","1","10","3","8"
"DelftX/CTB3365DWx/3T2014_5019797","0","1","9","10","0","0"
"DelftX/CTB3365DWx/3T2014_2522834","0","0","3","4","0","0"
"DelftX/CTB3365DWx/3T2014_5537844","1","1","3","9","2","6"
"DelftX/CTB3365DWx/3T2014_948543","1","1","2","3","6","10"
"DelftX/CTB3365DWx/3T2014_1298778","1","0","1","6","0","0"
"DelftX/CTB3365DWx/3T2014_5263158","6","10","4","8","9","7"
"DelftX/CTB3365DWx/3T2014_4537282","3","0","0","3","10","6"
"DelftX/CTB3365DWx/3T2014_4876511","5","3","1","7","0","0"
"DelftX/CTB3365DWx/3T2014_5223032","0","0","0","6","0","0"
"DelftX/CTB3365DWx/3T2014_5473536","1","0","1","7","0","0"
"DelftX/CTB3365DWx/3T2014_5601931","5","0","0","1","9","8"
"DelftX/CTB3365DWx/3T2014_5632879","1","2","3","6","1","5"
"DelftX/CTB3365DWx/3T2014_2043279","1","1","2","4","8","6"
"DelftX/CTB3365DWx/3T2014_5082418","0","0","0","6","0","0"
"DelftX/CTB3365DWx/3T2014_4490657","6","2","1","8","8","9"
"DelftX/CTB3365DWx/3T2014_4276451","3","2","1","7","6","8"
"DelftX/CTB3365DWx/3T2014_4235823","0","0","0","2","0","0"
"DelftX/CTB3365DWx/3T2014_5089295","2","1","2","10","2","6"
"DelftX/CTB3365DWx/3T2014_1742861","0","0","0","0","1","10"
"DelftX/CTB3365DWx/3T2014_4589890","1","1","2","7","1","10"
"DelftX/CTB3365DWx/3T2014_5141032","10","5","1","8","10","9"
"DelftX/CTB3365DWx/3T2014_5483558","4","4","2","8","4","10"
"DelftX/CTB3365DWx/3T2014_3187308","3","3","2","8","8","7"
"DelftX/CTB3365DWx/3T2014_2024021","1","0","0","0","8","7"
"DelftX/CTB3365DWx/3T2014_5629917","0","0","0","4","0","0"
"DelftX/CTB3365DWx/3T2014_330476","1","1","3","5","3","9"
"DelftX/CTB3365DWx/3T2014_2388316","2","1","2","8","6","9"
"DelftX/CTB3365DWx/3T2014_1950144","1","0","1","2","5","6"
"DelftX/CTB3365DWx/3T2014_1849501","5","0","0","4","9","9"
"DelftX/CTB3365DWx/3T2014_2517920","2","1","1","7","4","9"
"DelftX/CTB3365DWx/3T2014_1264105","0","0","0","0","1","8"
"DelftX/CTB3365DWx/3T2014_2094477","3","0","0","1","9","8"
"DelftX/CTB3365DWx/3T2014_2283990","2","1","1","3","7","6"
"DelftX/CTB3365DWx/3T2014_2155313","3","1","1","9","2","6"
"DelftX/CTB3365DWx/3T2014_5639418","0","1","3","3","0","0"
"DelftX/CTB3365DWx/3T2014_497501","0","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_1034993","2","2","2","7","6","6"
"DelftX/CTB3365DWx/3T2014_5505883","2","3","4","8","10","10"
"DelftX/CTB3365DWx/3T2014_784977","2","1","2","6","8","8"
"DelftX/CTB3365DWx/3T2014_5639546","0","0","0","2","0","0"
"DelftX/CTB3365DWx/3T2014_1950157","0","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_5525494","1","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_2345371","0","0","4","5","0","0"
"DelftX/CTB3365DWx/3T2014_2850627","0","0","3","4","0","0"
"DelftX/CTB3365DWx/3T2014_5536819","1","0","0","1","0","0"
"DelftX/CTB3365DWx/3T2014_2143446","1","0","0","1","10","7"
"DelftX/CTB3365DWx/3T2014_5381858","0","0","0","0","4","8"
"DelftX/CTB3365DWx/3T2014_5517991","0","0","0","2","0","0"
"DelftX/CTB3365DWx/3T2014_960642","5","3","1","6","7","9"
"DelftX/CTB3365DWx/3T2014_3980492","4","3","2","9","6","9"
"DelftX/CTB3365DWx/3T2014_953793","1","0","0","6","0","0"
"DelftX/CTB3365DWx/3T2014_1652659","3","3","2","5","10","9"
"DelftX/CTB3365DWx/3T2014_4772783","1","2","5","8","0","0"
"DelftX/CTB3365DWx/3T2014_1122525","0","0","10","2","0","0"
"DelftX/CTB3365DWx/3T2014_2461842","0","0","0","0","1","8"
"DelftX/CTB3365DWx/3T2014_2306394","1","0","0","0","2","9"
"DelftX/CTB3365DWx/3T2014_2294514","2","1","1","3","10","5"
"DelftX/CTB3365DWx/3T2014_2757159","0","0","0","1","0","0"
"DelftX/CTB3365DWx/3T2014_5588923","2","1","1","8","1","5"
"DelftX/CTB3365DWx/3T2014_5197698","0","0","0","0","1","8"
"DelftX/CTB3365DWx/3T2014_5397087","3","2","2","6","10","8"
"DelftX/CTB3365DWx/3T2014_2345823","2","3","4","8","10","9"
"DelftX/CTB3365DWx/3T2014_5551759","2","2","2","8","9","7"
"DelftX/CTB3365DWx/3T2014_5197927","6","2","1","7","8","9"
"DelftX/CTB3365DWx/3T2014_5764687","0","0","0","1","0","0"
"DelftX/CTB3365DWx/3T2014_2900956","3","0","0","1","3","9"
"DelftX/CTB3365DWx/3T2014_5638669","2","0","0","1","2","7"
"DelftX/CTB3365DWx/3T2014_5681375","1","1","4","4","1","6"
"DelftX/CTB3365DWx/3T2014_5682581","2","2","2","9","6","8"
"DelftX/CTB3365DWx/3T2014_3527584","2","2","2","4","7","9"
"DelftX/CTB3365DWx/3T2014_5683793","0","0","0","6","0","0"
"DelftX/CTB3365DWx/3T2014_2949872","2","2","3","4","2","9"
"DelftX/CTB3365DWx/3T2014_5658482","0","0","0","9","0","0"
"DelftX/CTB3365DWx/3T2014_5644669","3","1","0","4","7","8"
"DelftX/CTB3365DWx/3T2014_531284","1","1","2","4","5","6"
"DelftX/CTB3365DWx/3T2014_5074290","0","1","4","6","0","0"
"DelftX/CTB3365DWx/3T2014_5540770","5","2","1","8","9","8"
"DelftX/CTB3365DWx/3T2014_2288539","1","0","0","3","0","0"
"DelftX/CTB3365DWx/3T2014_2136927","1","0","0","1","7","9"
"DelftX/CTB3365DWx/3T2014_3632234","0","0","0","1","0","0"
"DelftX/CTB3365DWx/3T2014_5632433","0","0","1","1","0","0"
"DelftX/CTB3365DWx/3T2014_5593481","2","0","0","3","0","0"
"DelftX/CTB3365DWx/3T2014_5057034","2","1","1","4","7","8"
"DelftX/CTB3365DWx/3T2014_2516112","0","0","0","0","0","0"
"DelftX/CTB3365DWx/3T2014_834267","1","0","0","2","9","7"
"DelftX/CTB3365DWx/3T2014_4717292","3","3","2","4","7","8"
"DelftX/CTB3365DWx/3T2014_5714323","0","0","0","4","0","0"
"DelftX/CTB3365DWx/3T2014_4781115","1","1","2","5","6","10"
"DelftX/CTB3365DWx/3T2014_4249864","1","1","2","7","0","0"
"DelftX/CTB3365DWx/3T2014_5475625","2","2","2","4","10","7"
"DelftX/CTB3365DWx/3T2014_4492589","3","1","1","7","9","7"
"DelftX/CTB3365DWx/3T2014_678087","1","1","1","7","0","0"
"DelftX/CTB3365DWx/3T2014_2311310","0","0","0","4","0","0"
"DelftX/CTB3365DWx/3T2014_1968033","0","0","0","2","0","0"
"DelftX/CTB3365DWx/3T2014_2090190","0","0","2","5","0","0"
"DelftX/CTB3365DWx/3T2014_608778","0","0","1","5","0","10"
"DelftX/CTB3365DWx/3T2014_5236282","0","0","0","8","0","0"
"DelftX/CTB3365DWx/3T2014_5522858","3","3","3","9","5","7"
"DelftX/CTB3365DWx/3T2014_5533991","2","3","3","8","9","7"
"DelftX/CTB3365DWx/3T2014_1703187","5","0","0","6","9","7"
"DelftX/CTB3365DWx/3T2014_1517691","0","0","0","0","4","9"
"DelftX/CTB3365DWx/3T2014_4791555","2","1","1","3","2","6"
"DelftX/CTB3365DWx/3T2014_385313","0","0","0","2","0","0"
